PLATFORM 0: (unicode)
LANGUAGE (windows) 1123: ps
LANGUAGE (windows) 1045: pl
LANGUAGE (windows) 1046: pt
LANGUAGE (windows) 2070: pt-pt
LANGUAGE (windows) 1094: pa
LANGUAGE (windows) 1131: qu-bo
LANGUAGE (windows) 2155: qu-ec
LANGUAGE (windows) 3179: qu
LANGUAGE (windows) 1048: ro
LANGUAGE (windows) 1047: rm
LANGUAGE (windows) 1049: ru
LANGUAGE (windows) 9275: smn
LANGUAGE (windows) 4155: smj-no
LANGUAGE (windows) 5179: smj
LANGUAGE (windows) 3131: se-fi
LANGUAGE (windows) 1083: se
LANGUAGE (windows) 2107: se-se
LANGUAGE (windows) 8251: sms
LANGUAGE (windows) 6203: sma-no
LANGUAGE (windows) 7227: sms
LANGUAGE (windows) 1103: sa
LANGUAGE (windows) 7194: sr-cyrl-ba
LANGUAGE (windows) 3098: sr
LANGUAGE (windows) 6170: sr-latn-ba
LANGUAGE (windows) 2074: sr-latn
LANGUAGE (windows) 1132: nso
LANGUAGE (windows) 1074: tn
LANGUAGE (windows) 1115: si
LANGUAGE (windows) 1051: sk
LANGUAGE (windows) 1060: sl
LANGUAGE (windows) 11274: es-ar
LANGUAGE (windows) 16394: es-bo
LANGUAGE (windows) 13322: es-cl
LANGUAGE (windows) 9226: es-co
LANGUAGE (windows) 5130: es-cr
LANGUAGE (windows) 7178: es-do
LANGUAGE (windows) 12298: es-ec
LANGUAGE (windows) 17418: es-sv
LANGUAGE (windows) 4106: es-gt
LANGUAGE (windows) 18442: es-hn
LANGUAGE (windows) 2058: es-mx
LANGUAGE (windows) 19466: es-ni
LANGUAGE (windows) 6154: es-pa
LANGUAGE (windows) 15370: es-py
LANGUAGE (windows) 10250: es-pe
LANGUAGE (windows) 20490: es-pr
LANGUAGE (windows) 3082: es
LANGUAGE (windows) 1034: es
LANGUAGE (windows) 21514: es-us
LANGUAGE (windows) 14346: es-uy
LANGUAGE (windows) 8202: es-ve
LANGUAGE (windows) 2077: sv-fi
LANGUAGE (windows) 1053: sv
LANGUAGE (windows) 1114: syr
LANGUAGE (windows) 1064: tg
LANGUAGE (windows) 2143: tzm
LANGUAGE (windows) 1097: ta
LANGUAGE (windows) 1092: tt
LANGUAGE (windows) 1098: te
LANGUAGE (windows) 1054: th
LANGUAGE (windows) 1105: bo
LANGUAGE (windows) 1055: tr
LANGUAGE (windows) 1090: tk
LANGUAGE (windows) 1152: ug
LANGUAGE (windows) 1058: uk
LANGUAGE (windows) 1070: hsb
